_model	model.x	model.y	LEMMAPATH	LEMMAREL	foc_boundaries	foc_context_words	foc_foc_pos	foc_foc_win	foc_minimum_features	foc_ppmi	soc_length	soc_length_num	soc_soc_pos	soc_soc_win	tokens	type	stress	foc_base
heffen.BOWbound3all.PPMIselection.LENGTH5000.SOCPOSnav	-0.06214683305541435	-0.22381186481797183	NA	NA	bound	261	all	3_3	1	selection	5000	5000	nav	4_4	216	heffen	0.22123050723181029	BOW
heffen.BOWbound3all.PPMIselection.LENGTH5000.SOCPOSall	0.2455538230707904	-0.2298441062232602	NA	NA	bound	261	all	3_3	1	selection	5000	5000	all	4_4	216	heffen	0.23900013888869792	BOW
heffen.BOWbound3all.PPMIselection.LENGTHFOC.SOCPOSnav	-0.0791153979993474	-0.09611639386946463	NA	NA	bound	261	all	3_3	1	selection	FOC	136	nav	4_4	216	heffen	0.1900419922045904	BOW
heffen.BOWbound3all.PPMIselection.LENGTHFOC.SOCPOSall	-0.06410878828122252	-0.08988375342464903	NA	NA	bound	261	all	3_3	1	selection	FOC	261	all	4_4	216	heffen	0.201280966116304	BOW
heffen.BOWbound3all.PPMIno.LENGTH5000.SOCPOSnav	-0.10202725381801651	-0.23781049355015574	NA	NA	bound	372	all	3_3	1	no	5000	5000	nav	4_4	217	heffen	0.24662979490819312	BOW
heffen.BOWbound3all.PPMIno.LENGTH5000.SOCPOSall	0.3405627730405067	-0.24247775433462587	NA	NA	bound	372	all	3_3	1	no	5000	5000	all	4_4	217	heffen	0.2500495757733995	BOW
heffen.BOWbound3all.PPMIno.LENGTHFOC.SOCPOSnav	-0.08590817107928858	-0.1045037220591104	NA	NA	bound	372	all	3_3	1	no	FOC	195	nav	4_4	217	heffen	0.2138654625934895	BOW
heffen.BOWbound3all.PPMIno.LENGTHFOC.SOCPOSall	-0.0697273487478757	-0.10116374915425176	NA	NA	bound	372	all	3_3	1	no	FOC	372	all	4_4	217	heffen	0.22133063003157283	BOW
heffen.BOWnobound10lex.PPMIweight.LENGTH5000.SOCPOSnav	-0.07739890503123319	-0.01031268740543234	NA	NA	nobound	454	lex	10_10	1	weight	5000	5000	nav	4_4	218	heffen	0.15214086598145452	BOW
heffen.BOWnobound10lex.PPMIweight.LENGTH5000.SOCPOSall	0.1310988891449298	-1.041793135918014e-4	NA	NA	nobound	454	lex	10_10	1	weight	5000	5000	all	4_4	218	heffen	0.1978087865736827	BOW
heffen.BOWnobound10lex.PPMIweight.LENGTHFOC.SOCPOSnav	-0.08565978580098794	-0.008939346873296224	NA	NA	nobound	454	lex	10_10	1	weight	FOC	314	nav	4_4	218	heffen	0.12587744287168728	BOW
heffen.BOWnobound10lex.PPMIweight.LENGTHFOC.SOCPOSall	-0.06566120927132917	-0.008079207540116885	NA	NA	nobound	454	lex	10_10	1	weight	FOC	454	all	4_4	218	heffen	0.13050303476072195	BOW
heffen.BOWnobound10lex.PPMIselection.LENGTH5000.SOCPOSnav	-0.11576086607804675	-0.00866913052984403	NA	NA	nobound	454	lex	10_10	1	selection	5000	5000	nav	4_4	218	heffen	0.18364183435006665	BOW
heffen.BOWnobound10lex.PPMIselection.LENGTH5000.SOCPOSall	0.19947529363159325	0.029238911750438502	NA	NA	nobound	454	lex	10_10	1	selection	5000	5000	all	4_4	218	heffen	0.21191700168105382	BOW
heffen.BOWnobound10lex.PPMIselection.LENGTHFOC.SOCPOSnav	-0.1062867214340963	-0.004069567892822581	NA	NA	nobound	454	lex	10_10	1	selection	FOC	314	nav	4_4	218	heffen	0.14004520760057187	BOW
heffen.BOWnobound10lex.PPMIselection.LENGTHFOC.SOCPOSall	-0.09582651409950244	-0.004173684763072942	NA	NA	nobound	454	lex	10_10	1	selection	FOC	454	all	4_4	218	heffen	0.1466008506790052	BOW
heffen.BOWnobound10lex.PPMIno.LENGTH5000.SOCPOSnav	-0.19223484058611764	0.026904498756901818	NA	NA	nobound	991	lex	10_10	1	no	5000	5000	nav	4_4	218	heffen	0.1878818725968657	BOW
heffen.BOWnobound10lex.PPMIno.LENGTH5000.SOCPOSall	0.43956804258373966	0.11770625024962247	NA	NA	nobound	991	lex	10_10	1	no	5000	5000	all	4_4	218	heffen	0.21142691477496467	BOW
heffen.BOWnobound10lex.PPMIno.LENGTHFOC.SOCPOSnav	-0.16794396866228736	0.02634684532624689	NA	NA	nobound	991	lex	10_10	1	no	FOC	702	nav	4_4	218	heffen	0.16561111418530955	BOW
heffen.BOWnobound10lex.PPMIno.LENGTHFOC.SOCPOSall	-0.16222966073769227	0.028445308289486177	NA	NA	nobound	991	lex	10_10	1	no	FOC	991	all	4_4	218	heffen	0.16601026186186849	BOW
heffen.BOWnobound10all.PPMIweight.LENGTH5000.SOCPOSnav	-0.07640104860259138	-6.622679428996319e-4	NA	NA	nobound	598	all	10_10	1	weight	5000	5000	nav	4_4	218	heffen	0.15543566723247684	BOW
heffen.BOWnobound10all.PPMIweight.LENGTH5000.SOCPOSall	0.1426322392308922	0.017770227174461556	NA	NA	nobound	598	all	10_10	1	weight	5000	5000	all	4_4	218	heffen	0.1943132934844511	BOW
heffen.BOWnobound10all.PPMIweight.LENGTHFOC.SOCPOSnav	-0.08861959988932958	-7.023801239670958e-4	NA	NA	nobound	598	all	10_10	1	weight	FOC	314	nav	4_4	218	heffen	0.12185018363856967	BOW
heffen.BOWnobound10all.PPMIweight.LENGTHFOC.SOCPOSall	-0.07220787692131966	0.00187565259989441	NA	NA	nobound	598	all	10_10	1	weight	FOC	598	all	4_4	218	heffen	0.13294044277198666	BOW
heffen.BOWnobound10all.PPMIselection.LENGTH5000.SOCPOSnav	-0.1926402325206826	0.06514300055840412	NA	NA	nobound	598	all	10_10	1	selection	5000	5000	nav	4_4	218	heffen	0.21019668810579764	BOW
heffen.BOWnobound10all.PPMIselection.LENGTH5000.SOCPOSall	0.220577381045949	0.08670812683371532	NA	NA	nobound	598	all	10_10	1	selection	5000	5000	all	4_4	218	heffen	0.21736336147855148	BOW
heffen.BOWnobound10all.PPMIselection.LENGTHFOC.SOCPOSnav	-0.1304310384891609	0.026300259929921965	NA	NA	nobound	598	all	10_10	1	selection	FOC	314	nav	4_4	218	heffen	0.1456423459164458	BOW
heffen.BOWnobound10all.PPMIselection.LENGTHFOC.SOCPOSall	-0.11744065288507367	0.027627527682441685	NA	NA	nobound	598	all	10_10	1	selection	FOC	598	all	4_4	218	heffen	0.15750461811198	BOW
heffen.BOWnobound10all.PPMIno.LENGTH5000.SOCPOSnav	-0.25704611383384957	0.06603000627728059	NA	NA	nobound	1325	all	10_10	1	no	5000	5000	nav	4_4	218	heffen	0.20478250162936223	BOW
