_model	model.x	model.y	foc_context_words	foc_minimum_features	foc_foc_pos	foc_boundaries	foc_ppmi	foc_foc_win	soc_length	soc_length_num	soc_soc_pos	soc_soc_win	tokens	type	stress
horde.foc5.all.ppmi_sel.bound.min1.soc4.nav.5000	0.24623881536503545	-0.27695079513283904	472	1	all	bound	selection	5_5	5000	5000	nav	4_4	279	horde	0.18775548666613448
horde.foc5.all.ppmi_sel.bound.min1.soc4.nav.10000	0.2648608723206304	-0.30005010634035895	472	1	all	bound	selection	5_5	10000	10000	nav	4_4	279	horde	0.19449395748350035
horde.foc5.all.ppmi_sel.bound.min1.soc4.nav.foc	0.11093679931836863	-0.21217731308176924	472	1	all	bound	selection	5_5	FOC	472	nav	4_4	279	horde	0.22038024238468346
horde.foc5.all.ppmi_sel.bound.min1.soc10.nav.5000	0.14087021324359925	-0.1827239883937287	472	1	all	bound	selection	5_5	5000	5000	nav	10_10	279	horde	0.2014670634862409
horde.foc5.all.ppmi_sel.bound.min1.soc10.nav.10000	0.1520418687232524	-0.20345818392484127	472	1	all	bound	selection	5_5	10000	10000	nav	10_10	279	horde	0.197695859102118
horde.foc5.all.ppmi_sel.bound.min1.soc10.nav.foc	0.06154923064660286	-0.16305129380372632	472	1	all	bound	selection	5_5	FOC	472	nav	10_10	279	horde	0.2184547552595501
horde.foc5.all.ppmi_sel.bound.min1.soc4.all.5000	0.23035883148094036	-0.25992309193887286	472	1	all	bound	selection	5_5	5000	5000	all	4_4	279	horde	0.18517127610922085
horde.foc5.all.ppmi_sel.bound.min1.soc4.all.10000	0.25552239910737845	-0.28330574839539274	472	1	all	bound	selection	5_5	10000	10000	all	4_4	279	horde	0.19146453082352707
horde.foc5.all.ppmi_sel.bound.min1.soc4.all.foc	0.11093679931836906	-0.21217731308176876	472	1	all	bound	selection	5_5	FOC	472	all	4_4	279	horde	0.22038024238468346
horde.foc5.all.ppmi_sel.bound.min1.soc10.all.5000	0.13928537973090876	-0.17152644060900685	472	1	all	bound	selection	5_5	5000	5000	all	10_10	279	horde	0.20087174651127634
horde.foc5.all.ppmi_sel.bound.min1.soc10.all.10000	0.14521335656621798	-0.18616501666311355	472	1	all	bound	selection	5_5	10000	10000	all	10_10	279	horde	0.19556291552173097
horde.foc5.all.ppmi_sel.bound.min1.soc10.all.foc	0.06154923064660654	-0.16305129380372216	472	1	all	bound	selection	5_5	FOC	472	all	10_10	279	horde	0.2184547552595501
horde.foc5.all.no_ppmi.bound.min1.soc4.nav.5000	0.39824812099611645	-0.060958202856705175	671	1	all	bound	no	5_5	5000	5000	nav	4_4	279	horde	0.13680039687454199
horde.foc5.all.no_ppmi.bound.min1.soc4.nav.10000	0.41467107559739175	-0.0745562849032487	671	1	all	bound	no	5_5	10000	10000	nav	4_4	279	horde	0.16117060415117873
horde.foc5.all.no_ppmi.bound.min1.soc4.nav.foc	0.27853525872331425	-0.03210485913704916	671	1	all	bound	no	5_5	FOC	671	nav	4_4	279	horde	0.20709871091682575
horde.foc5.all.no_ppmi.bound.min1.soc10.nav.5000	0.28544852661443076	0.0021429517780850896	671	1	all	bound	no	5_5	5000	5000	nav	10_10	279	horde	0.16032305499182653
horde.foc5.all.no_ppmi.bound.min1.soc10.nav.10000	0.3002705225766915	-0.013076606438821251	671	1	all	bound	no	5_5	10000	10000	nav	10_10	279	horde	0.16479436786185087
horde.foc5.all.no_ppmi.bound.min1.soc10.nav.foc	0.19329680600300958	-0.0031256962832718277	671	1	all	bound	no	5_5	FOC	671	nav	10_10	279	horde	0.21249188028509453
horde.foc5.all.no_ppmi.bound.min1.soc4.all.5000	0.39225775717670813	-0.04696007137587332	671	1	all	bound	no	5_5	5000	5000	all	4_4	279	horde	0.13405877425478258
horde.foc5.all.no_ppmi.bound.min1.soc4.all.10000	0.4036598208763075	-0.06135600401343561	671	1	all	bound	no	5_5	10000	10000	all	4_4	279	horde	0.15220068830402358
horde.foc5.all.no_ppmi.bound.min1.soc4.all.foc	0.27853525872331575	-0.03210485913727937	671	1	all	bound	no	5_5	FOC	671	all	4_4	279	horde	0.20709871091682575
horde.foc5.all.no_ppmi.bound.min1.soc10.all.5000	0.29337485453122486	0.014911950415493225	671	1	all	bound	no	5_5	5000	5000	all	10_10	279	horde	0.14741554524507441
