_model	model.x	model.y	LEMMAPATH	LEMMAREL	base	foc_boundaries	foc_context_words	foc_foc_pos	foc_foc_win	foc_minimum_features	foc_ppmi	soc_length	soc_length_num	soc_soc_pos	soc_soc_win	tokens	type	stress
harden.BOWnobound10lex.PPMIselection.LENGTHFOC.SOCPOSnav	-0.1433076227640082	-0.10471283724740311	NA	NA	BOW	nobound	431	lex	10_10	1	selection	FOC	295	nav	4_4	279	harden	0.23213344939884442
harden.BOWnobound10lex.PPMIselection.LENGTHFOC.SOCPOSall	-0.0975435029615082	-0.05440004666303376	NA	NA	BOW	nobound	431	lex	10_10	1	selection	FOC	431	all	4_4	279	harden	0.21807248060560547
harden.BOWnobound10lex.PPMIno.LENGTH5000.SOCPOSnav	-0.2427307714425649	-0.10992584580123883	NA	NA	BOW	nobound	1107	lex	10_10	1	no	5000	5000	nav	4_4	279	harden	0.2566632212900255
harden.BOWnobound10lex.PPMIno.LENGTH5000.SOCPOSall	-0.5390959940280814	0.0049420461720861555	NA	NA	BOW	nobound	1107	lex	10_10	1	no	5000	5000	all	4_4	279	harden	0.26882663247442146
harden.BOWnobound10lex.PPMIno.LENGTHFOC.SOCPOSnav	-0.21952823374967154	-0.15051714136691902	NA	NA	BOW	nobound	1107	lex	10_10	1	no	FOC	790	nav	4_4	279	harden	0.23927639028893916
harden.BOWnobound10lex.PPMIno.LENGTHFOC.SOCPOSall	-0.2016184759185935	-0.1335491465533291	NA	NA	BOW	nobound	1107	lex	10_10	1	no	FOC	1107	all	4_4	279	harden	0.23762637252552107
harden.BOWnobound10all.PPMIweight.LENGTH5000.SOCPOSnav	-0.06432555669273951	-0.09298015355558907	NA	NA	BOW	nobound	556	all	10_10	1	weight	5000	5000	nav	4_4	279	harden	0.21944644032122126
harden.BOWnobound10all.PPMIweight.LENGTH5000.SOCPOSall	-0.2615552789402978	-0.03362676253885093	NA	NA	BOW	nobound	556	all	10_10	1	weight	5000	5000	all	4_4	279	harden	0.2793921259549578
harden.BOWnobound10all.PPMIweight.LENGTHFOC.SOCPOSnav	-0.1377543486988521	-0.16129870122018006	NA	NA	BOW	nobound	556	all	10_10	1	weight	FOC	295	nav	4_4	279	harden	0.2142602142535135
harden.BOWnobound10all.PPMIweight.LENGTHFOC.SOCPOSall	-0.09407500193456364	-0.12918873288423605	NA	NA	BOW	nobound	556	all	10_10	1	weight	FOC	556	all	4_4	279	harden	0.20770159589617135
harden.BOWnobound10all.PPMIselection.LENGTH5000.SOCPOSnav	0.018353518098427214	-0.06602981867236629	NA	NA	BOW	nobound	556	all	10_10	1	selection	5000	5000	nav	4_4	279	harden	0.21924577669589262
harden.BOWnobound10all.PPMIselection.LENGTH5000.SOCPOSall	-0.38937467926057323	0.0607005604256999	NA	NA	BOW	nobound	556	all	10_10	1	selection	5000	5000	all	4_4	279	harden	0.27359508746671923
harden.BOWnobound10all.PPMIselection.LENGTHFOC.SOCPOSnav	-0.0925221552384189	-0.15534324770141952	NA	NA	BOW	nobound	556	all	10_10	1	selection	FOC	295	nav	4_4	279	harden	0.2185875479416189
