_model	model.x	model.y	foc_BOUNDARIES	foc_FOC-POS	foc_FOC-WIN	foc_PPMI	foc_context_words	foc_minimum_features	soc_LENGTH	soc_LENGTH_num	soc_SOC-POS	soc_SOC-WIN	tokens	type	stress
geestig.foc5.nav.no.bound.min1.soc4.all.10000	-0.273147799263336	0.12051033030843912	bound	nav	5_5	no	448	1	10000	10000	all	4_4	266	geestig	0.24479879488339062
geestig.foc5.nav.no.bound.min1.soc4.all.FOC	-0.26702058111092386	0.16132157532773023	bound	nav	5_5	no	448	1	FOC	448	all	4_4	266	geestig	0.24158830848903465
geestig.foc5.nav.no.bound.min1.soc10.all.5000	-0.26886186059604505	0.06633919649277097	bound	nav	5_5	no	448	1	5000	5000	all	10_10	266	geestig	0.24314573835476339
geestig.foc5.nav.no.bound.min1.soc10.all.10000	-0.22603252893788775	0.08834948139354364	bound	nav	5_5	no	448	1	10000	10000	all	10_10	266	geestig	0.24350132708412145
geestig.foc5.nav.no.bound.min1.soc10.all.FOC	-0.2323651496239687	0.12331901400059565	bound	nav	5_5	no	448	1	FOC	448	all	10_10	266	geestig	0.22945121175339786
geestig.foc5.all.weight.bound.min1.soc4.nav.5000	0.015232019778585517	0.29036609461155927	bound	all	5_5	weight	518	1	5000	5000	nav	4_4	273	geestig	0.2593624679020498
geestig.foc5.all.weight.bound.min1.soc4.nav.10000	0.02281719744724996	0.36607463034223053	bound	all	5_5	weight	518	1	10000	10000	nav	4_4	273	geestig	0.253436619560787
geestig.foc5.all.weight.bound.min1.soc4.nav.FOC	0.004309930907364636	0.3547762667049197	bound	all	5_5	weight	518	1	FOC	518	nav	4_4	273	geestig	0.25729683868766806
geestig.foc5.all.weight.bound.min1.soc10.nav.5000	-0.0037787657192591305	0.2352930306618272	bound	all	5_5	weight	518	1	5000	5000	nav	10_10	273	geestig	0.24902250607701346
geestig.foc5.all.weight.bound.min1.soc10.nav.10000	-0.010520201222962674	0.3089273584339797	bound	all	5_5	weight	518	1	10000	10000	nav	10_10	273	geestig	0.24630027821222356
geestig.foc5.all.weight.bound.min1.soc10.nav.FOC	-0.03030546512999381	0.31376666989821755	bound	all	5_5	weight	518	1	FOC	518	nav	10_10	273	geestig	0.24597532829076274
geestig.foc5.all.weight.bound.min1.soc4.all.5000	0.013824054625419434	0.2670467359478647	bound	all	5_5	weight	518	1	5000	5000	all	4_4	273	geestig	0.2615490103922912
geestig.foc5.all.weight.bound.min1.soc4.all.10000	0.013482335768289652	0.3157690257494415	bound	all	5_5	weight	518	1	10000	10000	all	4_4	273	geestig	0.25374047581989084
geestig.foc5.all.weight.bound.min1.soc4.all.FOC	0.004309945733082889	0.3547762948668678	bound	all	5_5	weight	518	1	FOC	518	all	4_4	273	geestig	0.25729683868766806
geestig.foc5.all.weight.bound.min1.soc10.all.5000	0.0027927793495525145	0.23028377141476916	bound	all	5_5	weight	518	1	5000	5000	all	10_10	273	geestig	0.24767783654402878
geestig.foc5.all.weight.bound.min1.soc10.all.10000	-0.009858293209248782	0.2618766245626068	bound	all	5_5	weight	518	1	10000	10000	all	10_10	273	geestig	0.24782554595154918
geestig.foc5.all.weight.bound.min1.soc10.all.FOC	-0.03030544367824141	0.3137666515432733	bound	all	5_5	weight	518	1	FOC	518	all	10_10	273	geestig	0.24597532829076274
geestig.foc5.all.selection.bound.min1.soc4.nav.5000	0.27806320935357104	0.24626588872779578	bound	all	5_5	selection	518	1	5000	5000	nav	4_4	273	geestig	0.24727254598621143
geestig.foc5.all.selection.bound.min1.soc4.nav.10000	0.3106381519273483	0.2754465547559062	bound	all	5_5	selection	518	1	10000	10000	nav	4_4	273	geestig	0.24378107336147845
