_model	model.x	model.y	LEMMAPATH	LEMMAREL	foc_boundaries	foc_context_words	foc_foc_pos	foc_foc_win	foc_minimum_features	foc_ppmi	soc_length	soc_length_num	soc_soc_pos	soc_soc_win	tokens	type	stress	foc_base
herhalen.BOWnobound5lex.PPMIweight.LENGTHFOC.SOCPOSall	-0.031545391226266435	-0.10701117125060669	NA	NA	nobound	359	lex	5_5	1	weight	FOC	359	all	4_4	297	herhalen	0.2974609232405552	BOW
herhalen.BOWnobound5lex.PPMIselection.LENGTH5000.SOCPOSnav	-0.014596390714237212	-0.14656785669910055	NA	NA	nobound	359	lex	5_5	1	selection	5000	5000	nav	4_4	297	herhalen	0.25746783968955733	BOW
herhalen.BOWnobound5lex.PPMIselection.LENGTH5000.SOCPOSall	-0.20799494665173832	-0.09999819068847576	NA	NA	nobound	359	lex	5_5	1	selection	5000	5000	all	4_4	297	herhalen	0.2634446253309461	BOW
herhalen.BOWnobound5lex.PPMIselection.LENGTHFOC.SOCPOSnav	0.02046614847482132	-0.1290201281961909	NA	NA	nobound	359	lex	5_5	1	selection	FOC	230	nav	4_4	297	herhalen	0.2839457456968188	BOW
herhalen.BOWnobound5lex.PPMIselection.LENGTHFOC.SOCPOSall	0.021966887053592614	-0.119300922767315	NA	NA	nobound	359	lex	5_5	1	selection	FOC	359	all	4_4	297	herhalen	0.28105519903598825	BOW
herhalen.BOWnobound5lex.PPMIno.LENGTH5000.SOCPOSnav	0.05421191592968216	-0.18397524793573955	NA	NA	nobound	668	lex	5_5	1	no	5000	5000	nav	4_4	312	herhalen	0.26730999572058134	BOW
herhalen.BOWnobound5lex.PPMIno.LENGTH5000.SOCPOSall	-0.42724476674854744	-0.24532102861149419	NA	NA	nobound	668	lex	5_5	1	no	5000	5000	all	4_4	312	herhalen	0.27517315318432684	BOW
herhalen.BOWnobound5lex.PPMIno.LENGTHFOC.SOCPOSnav	0.09688678572147827	-0.19911772792441887	NA	NA	nobound	668	lex	5_5	1	no	FOC	491	nav	4_4	312	herhalen	0.27538280600664555	BOW
herhalen.BOWnobound5lex.PPMIno.LENGTHFOC.SOCPOSall	0.10372050725098123	-0.19910703282443953	NA	NA	nobound	668	lex	5_5	1	no	FOC	668	all	4_4	312	herhalen	0.2674196906971508	BOW
herhalen.BOWnobound5all.PPMIweight.LENGTH5000.SOCPOSnav	-3.509362434568582e-4	0.09856193469573125	NA	NA	nobound	552	all	5_5	1	weight	5000	5000	nav	4_4	312	herhalen	0.2592735887295336	BOW
herhalen.BOWnobound5all.PPMIweight.LENGTH5000.SOCPOSall	-0.20781073146857812	0.07791534742195769	NA	NA	nobound	552	all	5_5	1	weight	5000	5000	all	4_4	312	herhalen	0.2754191009896878	BOW
herhalen.BOWnobound5all.PPMIweight.LENGTHFOC.SOCPOSnav	0.023529981448665527	0.039418719794682026	NA	NA	nobound	552	all	5_5	1	weight	FOC	230	nav	4_4	312	herhalen	0.27928439438514063	BOW
herhalen.BOWnobound5all.PPMIweight.LENGTHFOC.SOCPOSall	0.02191994996100519	0.02356554671737297	NA	NA	nobound	552	all	5_5	1	weight	FOC	552	all	4_4	312	herhalen	0.2708769635305456	BOW
herhalen.BOWnobound5all.PPMIselection.LENGTH5000.SOCPOSnav	0.10876323231911755	0.04770580072085779	NA	NA	nobound	552	all	5_5	1	selection	5000	5000	nav	4_4	312	herhalen	0.24224574896299864	BOW
herhalen.BOWnobound5all.PPMIselection.LENGTH5000.SOCPOSall	-0.3253683417131144	0.07237490942954092	NA	NA	nobound	552	all	5_5	1	selection	5000	5000	all	4_4	312	herhalen	0.26919980329165316	BOW
herhalen.BOWnobound5all.PPMIselection.LENGTHFOC.SOCPOSnav	0.11408744962909335	-0.022670793651187557	NA	NA	nobound	552	all	5_5	1	selection	FOC	230	nav	4_4	312	herhalen	0.26197701701634113	BOW
herhalen.BOWnobound5all.PPMIselection.LENGTHFOC.SOCPOSall	0.10845308486441639	-0.032601258492361125	NA	NA	nobound	552	all	5_5	1	selection	FOC	552	all	4_4	312	herhalen	0.25221382310513996	BOW
herhalen.BOWnobound5all.PPMIno.LENGTH5000.SOCPOSnav	0.25045886006286766	-0.02195568687189446	NA	NA	nobound	986	all	5_5	1	no	5000	5000	nav	4_4	312	herhalen	0.24487614912394215	BOW
herhalen.BOWnobound5all.PPMIno.LENGTH5000.SOCPOSall	-0.5347214643471341	0.059252247853689016	NA	NA	nobound	986	all	5_5	1	no	5000	5000	all	4_4	312	herhalen	0.2580479338166603	BOW
herhalen.BOWnobound5all.PPMIno.LENGTHFOC.SOCPOSnav	0.23120765313427427	-0.06895400679465111	NA	NA	nobound	986	all	5_5	1	no	FOC	491	nav	4_4	312	herhalen	0.24134830682520378	BOW
