filename	lemma	twcorpus	twppmi	twllr	twL	twR	socccorpus	soccppmi	soccllr	soccL	soccR	sample	tokenL	tokenR	stress
COHA.ppmi3.ll0.Semcor.ppmi0.ll0	church	COHA	3	0	10	10	Semcor	0	0	10	10	129	10	10	0.229628189665945
COHA.ppmi3.ll0.Semcor.ppmi0.ll1	church	COHA	3	0	10	10	Semcor	0	1	10	10	129	10	10	0.229466838431333
COHA.ppmi3.ll0.Semcor.ppmi1.ll0	church	COHA	3	0	10	10	Semcor	1	0	10	10	129	10	10	0.228602188074349
COHA.ppmi3.ll0.Semcor.ppmi1.ll1	church	COHA	3	0	10	10	Semcor	1	1	10	10	129	10	10	0.227939443524801
COHA.ppmi3.ll0.Semcor.ppmi2.ll0	church	COHA	3	0	10	10	Semcor	2	0	10	10	129	10	10	0.223350108682354
COHA.ppmi3.ll0.Semcor.ppmi2.ll1	church	COHA	3	0	10	10	Semcor	2	1	10	10	129	10	10	0.22327631840919
COHA.ppmi3.ll1.COHA.ppmi0.ll0	church	COHA	3	1	10	10	COHA	0	0	10	10	129	10	10	0.202781130209683
COHA.ppmi3.ll1.COHA.ppmi0.ll1	church	COHA	3	1	10	10	COHA	0	1	10	10	129	10	10	0.208238772041318
COHA.ppmi3.ll1.COHA.ppmi1.ll0	church	COHA	3	1	10	10	COHA	1	0	10	10	129	10	10	0.211775419437224
COHA.ppmi3.ll1.COHA.ppmi1.ll1	church	COHA	3	1	10	10	COHA	1	1	10	10	129	10	10	0.2109218683497
COHA.ppmi3.ll1.COHA.ppmi2.ll0	church	COHA	3	1	10	10	COHA	2	0	10	10	129	10	10	0.218480181420165
COHA.ppmi3.ll1.COHA.ppmi2.ll1	church	COHA	3	1	10	10	COHA	2	1	10	10	129	10	10	0.21659094168985
COHA.ppmi3.ll1.Semcor.ppmi0.ll0	church	COHA	3	1	10	10	Semcor	0	0	10	10	129	10	10	0.234025083289459
COHA.ppmi3.ll1.Semcor.ppmi0.ll1	church	COHA	3	1	10	10	Semcor	0	1	10	10	129	10	10	0.227585541360537
COHA.ppmi3.ll1.Semcor.ppmi1.ll0	church	COHA	3	1	10	10	Semcor	1	0	10	10	129	10	10	0.227379381204785
