cw_index	token_id	cw_position	lemma	pos	type	wordform	same_sentence	side	distance	pmi	raw_freq	raw_co	ann_3	ann_2	ann_1	votes
hoekig/adj/nrc_handelsblad_19991008_64/156/R2	hoekig/adj/nrc_handelsblad_19991008_64/156	R2	muziek	noun	muziek/noun	muziek	True	R	3	1.9343916	94376	31	TRUE	TRUE	TRUE	3
hoekig/adj/nrc_handelsblad_19991008_64/156/R3	hoekig/adj/nrc_handelsblad_19991008_64/156	R3	'	punct	'/punct	'	True	R	4	NA	NA	NA	FALSE	FALSE	FALSE	0
hoekig/adj/nrc_handelsblad_19991008_64/156/R4	hoekig/adj/nrc_handelsblad_19991008_64/156	R4	overheers	verb	overheers/verb	overheerst	True	R	5	2.1163344	5091	2	FALSE	FALSE	FALSE	0
hoekig/adj/nrc_handelsblad_19991008_64/156/R5	hoekig/adj/nrc_handelsblad_19991008_64/156	R5	.	punct	./punct	.	True	R	6	NA	NA	NA	FALSE	FALSE	FALSE	0
hoekig/adj/nrc_handelsblad_19991008_64/156/R6	hoekig/adj/nrc_handelsblad_19991008_64/156	R6	sentence_delimiter	none	none	</sentence>	none	R	7	NA	NA	NA	FALSE	FALSE	FALSE	0
hoekig/adj/nrc_handelsblad_19991008_64/156/R7	hoekig/adj/nrc_handelsblad_19991008_64/156	R7	sentence_delimiter	none	none	<sentence>	none	R	8	NA	NA	NA	FALSE	FALSE	FALSE	0
hoekig/adj/nrc_handelsblad_19991008_64/156/R8	hoekig/adj/nrc_handelsblad_19991008_64/156	R8	""""	punct	"""/punct"	""""	False	R	9	NA	NA	NA	FALSE	FALSE	FALSE	0
hoekig/adj/nrc_handelsblad_19991008_64/156/R9	hoekig/adj/nrc_handelsblad_19991008_64/156	R9	noem	verb	noem/verb	Noem	False	R	10	0.11644692	149858	8	FALSE	FALSE	FALSE	0
hoekig/adj/nrc_handelsblad_19991008_64/156/R10	hoekig/adj/nrc_handelsblad_19991008_64/156	R10	mij	pron	mij/pron	mij	False	R	11	NA	NA	NA	FALSE	FALSE	FALSE	0
hoekig/adj/nrc_handelsblad_19991008_64/156/R11	hoekig/adj/nrc_handelsblad_19991008_64/156	R11	een	det	een/det	een	False	R	12	0.31287128	11075723	720	FALSE	FALSE	FALSE	0
hoekig/adj/nrc_handelsblad_19991008_64/156/R12	hoekig/adj/nrc_handelsblad_19991008_64/156	R12	Rabelais	noun	Rabelais/noun	Rabelais	False	R	13	NA	NA	NA	FALSE	FALSE	FALSE	0
hoekig/adj/nrc_handelsblad_19991008_64/156/R13	hoekig/adj/nrc_handelsblad_19991008_64/156	R13	in	prep	in/prep	in	False	R	14	-0.101870835	9492181	406	FALSE	FALSE	FALSE	0
hoekig/adj/nrc_handelsblad_19991008_64/156/R14	hoekig/adj/nrc_handelsblad_19991008_64/156	R14	het	det	het/det	het	False	R	15	-0.1670006	11650779	468	FALSE	FALSE	FALSE	0
hoekig/adj/nrc_handelsblad_19991008_64/156/R15	hoekig/adj/nrc_handelsblad_19991008_64/156	R15	land	noun	land/noun	land	False	R	16	NA	NA	NA	FALSE	FALSE	FALSE	0
hoekig/adj/nrc_handelsblad_20000531_27/785/L0	hoekig/adj/nrc_handelsblad_20000531_27/785	L0	de	det	de/det	de	True	L	1	-0.08141816	28074105	1228	FALSE	FALSE	FALSE	0
hoekig/adj/nrc_handelsblad_20000531_27/785/L1	hoekig/adj/nrc_handelsblad_20000531_27/785	L1	door	prep	door/prep	door	True	L	2	0.35598537	1310789	89	FALSE	FALSE	FALSE	0
