_model	model.x	model.y	foc_boundaries	foc_foc_pos	foc_foc_win	foc_ppmi	foc_context_words	foc_minimum_features	soc_length	soc_length_num	soc_soc_pos	soc_soc_win	tokens	type	stress
hoekig.foc5.nav.weight.bound.min1.soc10.all.FOC	-0.2558759254242504	0.05538163356164929	bound	nav	5_5	weight	577	1	FOC	577	all	10_10	275	hoekig	0.2420634632128059
hoekig.foc5.nav.selection.bound.min1.soc4.nav.5000	-0.3045423122966984	-0.046463872702842544	bound	nav	5_5	selection	577	1	5000	5000	nav	4_4	275	hoekig	0.2450788353595545
hoekig.foc5.nav.selection.bound.min1.soc4.nav.10000	-0.33042560654248976	-0.02819878897552942	bound	nav	5_5	selection	577	1	10000	10000	nav	4_4	275	hoekig	0.23654926784563934
hoekig.foc5.nav.selection.bound.min1.soc4.nav.FOC	-0.28844311506843767	-0.0020002894121238946	bound	nav	5_5	selection	577	1	FOC	577	nav	4_4	275	hoekig	0.23903237526577834
hoekig.foc5.nav.selection.bound.min1.soc10.nav.5000	-0.26327717833428926	-0.05266771850492765	bound	nav	5_5	selection	577	1	5000	5000	nav	10_10	275	hoekig	0.23708672902514902
hoekig.foc5.nav.selection.bound.min1.soc10.nav.10000	-0.2652182581307907	-0.015187251621451923	bound	nav	5_5	selection	577	1	10000	10000	nav	10_10	275	hoekig	0.2324338525483975
hoekig.foc5.nav.selection.bound.min1.soc10.nav.FOC	-0.2519107196688199	-0.0237484398070165	bound	nav	5_5	selection	577	1	FOC	577	nav	10_10	275	hoekig	0.2270920012958707
hoekig.foc5.nav.selection.bound.min1.soc4.all.5000	-0.32033235360756773	-0.06549314710177988	bound	nav	5_5	selection	577	1	5000	5000	all	4_4	275	hoekig	0.25104310062351354
hoekig.foc5.nav.selection.bound.min1.soc4.all.10000	-0.32257025481557683	-0.032231390837504564	bound	nav	5_5	selection	577	1	10000	10000	all	4_4	275	hoekig	0.24298935713980924
hoekig.foc5.nav.selection.bound.min1.soc4.all.FOC	-0.28844311506843767	-0.0020002894121238946	bound	nav	5_5	selection	577	1	FOC	577	all	4_4	275	hoekig	0.23903237526577834
hoekig.foc5.nav.selection.bound.min1.soc10.all.5000	-0.2825982066156777	-0.07708605621851969	bound	nav	5_5	selection	577	1	5000	5000	all	10_10	275	hoekig	0.24259728056669405
hoekig.foc5.nav.selection.bound.min1.soc10.all.10000	-0.26637919312712866	-0.028513131663843488	bound	nav	5_5	selection	577	1	10000	10000	all	10_10	275	hoekig	0.24030093578226666
