pmi	cw
0.7780265	bene/adv
1.7391821	beneden/prep
5.8994846	beneden_buur_vrouw/noun
3.4261982	beneveld/adj
4.2464647	benjamins/noun
0.09894676	benoem/verb
0.36187303	benzine/noun
1.1024553	beoogd/adj
0.25941277	beoordeel/verb
5.581031	bepakt/adj
5.0795045	bepoteld/noun
0.9077542	beraad/verb
1.0215672	bereid/verb
0.6732982	berg/noun
3.2834167	bergbeklimmer/noun
3.1861455	bergbeklimmers/noun
1.0829215	bericht/verb
2.54974	berijd/verb
1.1128834	berm/noun
0.033725057	beroemd/adj
1.4427881	beroer/verb
0.73497146	beroerd/adj
0.60919946	berucht/adj
0.5969037	beschadigd/adj
0.49422053	beschaving/noun
0.27745467	bescheiden/adj
0.55615264	bescherm/verb
0.7953176	beschermd/adj
3.3743017	beschermer/noun
0.074026614	beschik/verb
0.30288252	beslissend/adj
0.8251848	beslist/adj
2.6163545	beslist/adv
3.862998	besluip/verb
0.5026392	besmet/verb
2.1173115	besneeuwd/adj
2.7836487	besnijdenis/noun
1.4589211	bespeur/verb
4.520604	bespoten/adj
3.6846137	bespring/verb
5.407008	best_prestatie/noun
4.014552	best_tijd/noun
1.6389518	bestaan_recht/noun
1.8092774	beste/det
0.32664818	bestelling/noun
0.20024657	bestemming/noun
1.3217674	bestook/verb
3.776951	bestorm/verb
5.2516675	bestormd/adj
0.33942384	bestrijding/noun
6.4255776	bestudeer/adj
2.1732984	bestudering/noun
4.142019	bestuif/verb
0.003317782	bestuur_voorzitter/noun
0.34066665	betaal_uit/verb
3.3663292	betaling_balans/noun
3.371395	betekenis_loos/adj
1.6868858	betoger/noun
0.40469444	betoging/noun
1.2038819	betonnen/adj
1.614645	betoon/verb
1.37458	betreed/verb
0.4219661	betreft/prep
3.0775647	beuk_in/verb
0.17584106	beurs/noun
0.51487494	beurs_koers/noun
1.8645202	beurs_vloer/noun
0.11093637	beursgang/noun
2.9823284	beurstoezichthouder/noun
0.23396274	beurt/adj
2.6514914	bevallig/adj
0.88863724	bevalling/noun
1.9995342	bevang/verb
1.493112	beveel/verb
0.87535	beveel_aan/verb
2.7858684	beveiliging_bedrijf/noun
3.504486	beveiliging_dienst/noun
0.07894997	bevestig/verb
0.43329623	bevestiging/noun
0.40070632	bevinding/noun
2.6088295	bevolk/verb
2.8152318	bevolkt/adj
1.1632264	bevredigend/adj
0.3031018	bevriend/adj
0.9659922	bevrijd/adj
3.8439052	bevrijding_dag/noun
1.4727618	bevroren/adj
3.2741575	bevuil/verb
2.4279065	bewaakt/adj
0.4450769	bewaker/noun
2.1360319	bewaking/noun
2.5058537	bewapend/adj
1.3383375	beweeg/adj
0.6008208	beweeg/verb
1.9698896	beweeglijk/adj
0.43059057	beweging/noun
4.8961825	bewijs_DIM/noun
2.101547	bewijslast/noun
2.6409512	bewijsvoering/noun
0.060423255	bewind/noun
1.2026473	bewogen/adj
1.4380536	bewonderaar/noun
6.3586383	bewonderaarsters/noun
0.27024615	bewondering/noun
1.6485897	bewoond/adj
1.7585529	bezaai/verb
5.5793796	bezakt/adj
2.9297698	bezeer/verb
2.0632143	bezem/noun
0.8533214	bezet/adj
1.0837957	bezetter/noun
0.5574767	bezetting/noun
1.6710099	bezie/verb
1.6183777	bezienswaardigheid/noun
1.5440295	bezing/verb
1.0893688	bezit/noun
1.3784869	bezocht/adj
0.73179525	bezoek/verb
0.7774856	bezoeker/noun
0.542009	bezwijk/verb
3.1783388	bh/noun
2.0554972	bibber/verb
4.0093207	bieding_bericht/noun
1.66579	bier_DIM/noun
4.298262	bier_gigant/noun
3.075134	bier_glas/noun
2.1663165	bies/noun
0.11153744	bij/part
2.977668	bij_steek/verb
1.7783802	bij_zaak/noun
2.1348548	bijbels/adj
0.5457541	bijeen/adj
0.15301283	bijeen/part
4.328504	bijeen_drijf/verb
5.594342	bijeen_gedreven/adj
0.4783967	bijgevolg/adv
3.0000005	bijkans/adv
2.4566655	bijkomstigheid/noun
1.5157833	bijl/noun
0.016136147	bijna/adv
2.77742	bijstand_moeder/noun
1.3631288	bijster/adv
0.20384127	bijt/verb
3.294105	bikini/noun
0.5333281	bil/noun
2.416498	bingo/noun
0.1816399	binnen/adv
0.3800541	binnen/part
5.435179	binnen_schrijd/verb
5.4774904	binnengevallen/adj
0.2759185	binnenkort/adv
1.5994973	binnenland/noun
0.3958221	binnenlands/adj
1.43784	binnenstad/noun
2.7925568	binnenstebuiten/adj
0.53084123	bioscoop/noun
5.155385	bioscoop_succes/noun
2.8379009	bioscoop_zaal/noun
5.55654	bivakkeer/adj
1.9815699	bivakkeer/verb
3.5292408	bizons/noun
1.6147201	blaas/verb
0.6971152	blaas_af/verb
0.62011844	blaas_in/verb
1.5521436	blader/verb
5.946005	blagen/noun
1.341549	blank/adj
0.26519302	blauw/adj
4.1138043	blauw_DIM/noun
0.8873051	blesseer/verb
0.4713384	blessure/noun
2.8532321	blessure_last/noun
0.0092553	blij/adj
2.4687285	blijde/adj
1.6626042	blijf_thuis/verb
0.14485802	blijk/verb
0.380577	blik/noun
0.8343612	blik_DIM/noun
0.20342892	blik_terug/verb
1.7651912	blik_vooruit/verb
1.0426232	blind/adj
3.6048858	blinddoek/noun
