	token_id	cw_position	lemma	pos	type	wordform	same_sentence	side	distance	pmi	raw_freq	raw_co
hoopvol/adj/nrc_handelsblad_20000928_109/13/R8	hoopvol/adj/nrc_handelsblad_20000928_109/13	R8	sentence_delimiter	none	none	</sentence>	none	R	9			
hoopvol/adj/nrc_handelsblad_20000928_109/13/R9	hoopvol/adj/nrc_handelsblad_20000928_109/13	R9	sentence_delimiter	none	none	<sentence>	none	R	10			
hoopvol/adj/nrc_handelsblad_20000928_109/13/R10	hoopvol/adj/nrc_handelsblad_20000928_109/13	R10	en	comp	en/comp	En	False	R	11			
hoopvol/adj/nrc_handelsblad_20000928_109/13/R11	hoopvol/adj/nrc_handelsblad_20000928_109/13	R11	dan	adv	dan/adv	dan	False	R	12	0.21023606	853168.0	147.0
hoopvol/adj/nrc_handelsblad_20000928_109/13/R12	hoopvol/adj/nrc_handelsblad_20000928_109/13	R12	gebeur	verb	gebeur/verb	gebeurt	False	R	13			
hoopvol/adj/nrc_handelsblad_20000928_109/13/R13	hoopvol/adj/nrc_handelsblad_20000928_109/13	R13	het	det	het/det	het	False	R	14	0.020375496	11650779.0	1651.0
hoopvol/adj/nrc_handelsblad_20000928_109/13/R14	hoopvol/adj/nrc_handelsblad_20000928_109/13	R14	niet	adv	niet/adv	níet	False	R	15	-0.04077641	3455007.0	461.0
hoopvol/adj/nrc_handelsblad_20000928_109/13/R15	hoopvol/adj/nrc_handelsblad_20000928_109/13	R15	.	punct	./punct	.	False	R	16			
hoopvol/adj/nrc_handelsblad_19991231_49/217/L0	hoopvol/adj/nrc_handelsblad_19991231_49/217	L0	geen	det	geen/det	geen	True	L	1	-0.20714915	1048752.0	118.0
hoopvol/adj/nrc_handelsblad_19991231_49/217/L1	hoopvol/adj/nrc_handelsblad_19991231_49/217	L1	ben	verb	ben/verb	is	True	L	2	0.33943477	9938754.0	1938.0
hoopvol/adj/nrc_handelsblad_19991231_49/217/L2	hoopvol/adj/nrc_handelsblad_19991231_49/217	L2	het	det	het/det	Het	True	L	3	0.020375496	11650779.0	1651.0
hoopvol/adj/nrc_handelsblad_19991231_49/217/L3	hoopvol/adj/nrc_handelsblad_19991231_49/217	L3	sentence_delimiter	none	none	<sentence>	none	L	4			
hoopvol/adj/nrc_handelsblad_19991231_49/217/L4	hoopvol/adj/nrc_handelsblad_19991231_49/217	L4	sentence_delimiter	none	none	</sentence>	none	L	5			
hoopvol/adj/nrc_handelsblad_19991231_49/217/L5	hoopvol/adj/nrc_handelsblad_19991231_49/217	L5	?	punct	?/punct	?	False	L	6			
hoopvol/adj/nrc_handelsblad_19991231_49/217/L6	hoopvol/adj/nrc_handelsblad_19991231_49/217	L6	1968	noun	1968/noun	1968	False	L	7			
