_model	model.x	model.y	foc_boundaries	foc_foc_pos	foc_foc_win	foc_ppmi	foc_context_words	foc_minimum_features	soc_length	soc_length_num	soc_soc_pos	soc_soc_win	tokens	type	stress
grijs.foc5.all.weight.bound.min1.soc4.nav.FOC	-0.0058132573329064555	0.2878474142663241	bound	all	5_5	weight	566	1	FOC	566	nav	4_4	319	grijs	0.25965364952228437
grijs.foc5.all.weight.bound.min1.soc10.nav.5000	-0.04669330971053117	0.17294990749520867	bound	all	5_5	weight	566	1	5000	5000	nav	10_10	319	grijs	0.2551254418108374
grijs.foc5.all.weight.bound.min1.soc10.nav.10000	-0.03334066686295849	0.2072457704328742	bound	all	5_5	weight	566	1	10000	10000	nav	10_10	319	grijs	0.25092918710589973
grijs.foc5.all.weight.bound.min1.soc10.nav.FOC	-0.035346150636987914	0.2530678329172661	bound	all	5_5	weight	566	1	FOC	566	nav	10_10	319	grijs	0.24677478877398984
grijs.foc5.all.weight.bound.min1.soc4.all.5000	-0.009723265805809537	0.2079332961415863	bound	all	5_5	weight	566	1	5000	5000	all	4_4	319	grijs	0.25668641955401844
grijs.foc5.all.weight.bound.min1.soc4.all.10000	0.008045478486344378	0.2477145473534482	bound	all	5_5	weight	566	1	10000	10000	all	4_4	319	grijs	0.25422732563408706
grijs.foc5.all.weight.bound.min1.soc4.all.FOC	-0.005813445573265326	0.28784748350295697	bound	all	5_5	weight	566	1	FOC	566	all	4_4	319	grijs	0.25965364952228437
grijs.foc5.all.weight.bound.min1.soc10.all.5000	-0.05137091579105351	0.16838302439968952	bound	all	5_5	weight	566	1	5000	5000	all	10_10	319	grijs	0.2539977347857052
grijs.foc5.all.weight.bound.min1.soc10.all.10000	-0.038131500677899895	0.18479718062688896	bound	all	5_5	weight	566	1	10000	10000	all	10_10	319	grijs	0.25266078320213076
grijs.foc5.all.weight.bound.min1.soc10.all.FOC	-0.0353461506369879	0.25306783291726603	bound	all	5_5	weight	566	1	FOC	566	all	10_10	319	grijs	0.24677478877398984
grijs.foc5.all.selection.bound.min1.soc4.nav.5000	0.44249096489685896	0.13648405334542663	bound	all	5_5	selection	566	1	5000	5000	nav	4_4	319	grijs	0.24552022324286188
grijs.foc5.all.selection.bound.min1.soc4.nav.10000	0.4829469448046195	0.15234784389702194	bound	all	5_5	selection	566	1	10000	10000	nav	4_4	319	grijs	0.238072201467351
grijs.foc5.all.selection.bound.min1.soc4.nav.FOC	0.32808277650849366	0.18661958982192506	bound	all	5_5	selection	566	1	FOC	566	nav	4_4	319	grijs	0.23316635606968136
grijs.foc5.all.selection.bound.min1.soc10.nav.5000	0.2237211607937406	0.10055202049991975	bound	all	5_5	selection	566	1	5000	5000	nav	10_10	319	grijs	0.2463115202270957
grijs.foc5.all.selection.bound.min1.soc10.nav.10000	0.263298415088197	0.12074171902218025	bound	all	5_5	selection	566	1	10000	10000	nav	10_10	319	grijs	0.2395548150489311
grijs.foc5.all.selection.bound.min1.soc10.nav.FOC	0.18364553446651818	0.16124533525474125	bound	all	5_5	selection	566	1	FOC	566	nav	10_10	319	grijs	0.22574441582357335
grijs.foc5.all.selection.bound.min1.soc4.all.5000	0.4374237136538837	0.1367850158468869	bound	all	5_5	selection	566	1	5000	5000	all	4_4	319	grijs	0.2508367108024245
grijs.foc5.all.selection.bound.min1.soc4.all.10000	0.4635113415952598	0.1381211248795401	bound	all	5_5	selection	566	1	10000	10000	all	4_4	319	grijs	0.24311845910020335
grijs.foc5.all.selection.bound.min1.soc4.all.FOC	0.3280829379124861	0.18661923298274122	bound	all	5_5	selection	566	1	FOC	566	all	4_4	319	grijs	0.23316635606968136
grijs.foc5.all.selection.bound.min1.soc10.all.5000	0.22979672458219194	0.09781307069318824	bound	all	5_5	selection	566	1	5000	5000	all	10_10	319	grijs	0.2483520236947804
grijs.foc5.all.selection.bound.min1.soc10.all.10000	0.24530117648665514	0.11092236067727804	bound	all	5_5	selection	566	1	10000	10000	all	10_10	319	grijs	0.2449214953874309
grijs.foc5.all.selection.bound.min1.soc10.all.FOC	0.1836453799230319	0.16124589125093788	bound	all	5_5	selection	566	1	FOC	566	all	10_10	319	grijs	0.22574441582357335
grijs.foc5.all.no.bound.min1.soc4.nav.5000	0.4424845999958951	0.13648414210566076	bound	all	5_5	no	566	1	5000	5000	nav	4_4	319	grijs	0.24552022324286188
grijs.foc5.all.no.bound.min1.soc4.nav.10000	0.48289561879124476	0.15232932329502008	bound	all	5_5	no	566	1	10000	10000	nav	4_4	319	grijs	0.238072201467351
grijs.foc5.all.no.bound.min1.soc4.nav.FOC	0.3280821963484401	0.18662086489593366	bound	all	5_5	no	566	1	FOC	566	nav	4_4	319	grijs	0.23316635606968136
grijs.foc5.all.no.bound.min1.soc10.nav.5000	0.22372111793334626	0.10055222172593342	bound	all	5_5	no	566	1	5000	5000	nav	10_10	319	grijs	0.2463115202270957
grijs.foc5.all.no.bound.min1.soc10.nav.10000	0.2632985262372056	0.12074137731584021	bound	all	5_5	no	566	1	10000	10000	nav	10_10	319	grijs	0.2395548150489311
grijs.foc5.all.no.bound.min1.soc10.nav.FOC	0.18364548507707043	0.16124552015713295	bound	all	5_5	no	566	1	FOC	566	nav	10_10	319	grijs	0.22574441582357335
grijs.foc5.all.no.bound.min1.soc4.all.5000	0.4374192287827508	0.1367848443311205	bound	all	5_5	no	566	1	5000	5000	all	4_4	319	grijs	0.2508367108024245
grijs.foc5.all.no.bound.min1.soc4.all.10000	0.46353666998274773	0.13812675395179438	bound	all	5_5	no	566	1	10000	10000	all	4_4	319	grijs	0.24311845910020335
grijs.foc5.all.no.bound.min1.soc4.all.FOC	0.3280824864330612	0.18662023683332585	bound	all	5_5	no	566	1	FOC	566	all	4_4	319	grijs	0.23316635606968136
grijs.foc5.all.no.bound.min1.soc10.all.5000	0.22979672458224953	0.09781307069296083	bound	all	5_5	no	566	1	5000	5000	all	10_10	319	grijs	0.2483520236947804
grijs.foc5.all.no.bound.min1.soc10.all.10000	0.24530109135393036	0.11092264340764138	bound	all	5_5	no	566	1	10000	10000	all	10_10	319	grijs	0.2449214953874309
grijs.foc5.all.no.bound.min1.soc10.all.FOC	0.18364542920605048	0.16124570636182736	bound	all	5_5	no	566	1	FOC	566	all	10_10	319	grijs	0.22574441582357335
