_model	model.x	model.y	LEMMAPATH	LEMMAREL	base	foc_boundaries	foc_context_words	foc_foc_pos	foc_foc_win	foc_minimum_features	foc_ppmi	soc_length	soc_length_num	soc_soc_pos	soc_soc_win	tokens	type	stress
haken.BOWnobound5lex.PPMIno.LENGTHFOC.SOCPOSall	-0.23866075835473052	0.09400031263531938	NA	NA	BOW	nobound	534	lex	5_5	1	no	FOC	534	all	4_4	249	haken	NA
haken.BOWnobound5all.PPMIweight.LENGTH5000.SOCPOSnav	-0.003139189396855464	-0.1066303369243988	NA	NA	BOW	nobound	552	all	5_5	1	weight	5000	5000	nav	4_4	251	haken	NA
haken.BOWnobound5all.PPMIweight.LENGTH5000.SOCPOSall	-0.003540242219270207	-0.13485018186158979	NA	NA	BOW	nobound	552	all	5_5	1	weight	5000	5000	all	4_4	251	haken	NA
haken.BOWnobound5all.PPMIweight.LENGTHFOC.SOCPOSnav	-0.06438722094899367	0.019491617828909676	NA	NA	BOW	nobound	552	all	5_5	1	weight	FOC	251	nav	4_4	251	haken	NA
haken.BOWnobound5all.PPMIweight.LENGTHFOC.SOCPOSall	-0.050736618874331105	0.014610475165913253	NA	NA	BOW	nobound	552	all	5_5	1	weight	FOC	552	all	4_4	251	haken	NA
haken.BOWnobound5all.PPMIselection.LENGTH5000.SOCPOSnav	0.13819723663492442	0.09503657887874664	NA	NA	BOW	nobound	552	all	5_5	1	selection	5000	5000	nav	4_4	251	haken	NA
haken.BOWnobound5all.PPMIselection.LENGTH5000.SOCPOSall	0.29911573852671797	-0.02999367986746004	NA	NA	BOW	nobound	552	all	5_5	1	selection	5000	5000	all	4_4	251	haken	NA
haken.BOWnobound5all.PPMIselection.LENGTHFOC.SOCPOSnav	-0.02275096359684345	0.10827461639621201	NA	NA	BOW	nobound	552	all	5_5	1	selection	FOC	251	nav	4_4	251	haken	NA
haken.BOWnobound5all.PPMIselection.LENGTHFOC.SOCPOSall	-0.016044901913103905	0.10882839406493909	NA	NA	BOW	nobound	552	all	5_5	1	selection	FOC	552	all	4_4	251	haken	NA
haken.BOWnobound5all.PPMIno.LENGTH5000.SOCPOSnav	0.08367649856005036	0.2074141958471304	NA	NA	BOW	nobound	803	all	5_5	1	no	5000	5000	nav	4_4	251	haken	NA
haken.BOWnobound5all.PPMIno.LENGTH5000.SOCPOSall	0.24748495956617445	0.2391708038541164	NA	NA	BOW	nobound	803	all	5_5	1	no	5000	5000	all	4_4	251	haken	NA
haken.BOWnobound5all.PPMIno.LENGTHFOC.SOCPOSnav	-0.034069326141533365	0.15492675785654203	NA	NA	BOW	nobound	803	all	5_5	1	no	FOC	371	nav	4_4	251	haken	NA
haken.BOWnobound5all.PPMIno.LENGTHFOC.SOCPOSall	-0.038130800732645374	0.16820569476313993	NA	NA	BOW	nobound	803	all	5_5	1	no	FOC	803	all	4_4	251	haken	NA
haken.BOWnobound3lex.PPMIweight.LENGTH5000.SOCPOSnav	-0.19350417827875985	-0.17892679078355875	NA	NA	BOW	nobound	240	lex	3_3	1	weight	5000	5000	nav	4_4	231	haken	NA
haken.BOWnobound3lex.PPMIweight.LENGTH5000.SOCPOSall	-0.20271519859967774	-0.2500431980063659	NA	NA	BOW	nobound	240	lex	3_3	1	weight	5000	5000	all	4_4	231	haken	NA
haken.BOWnobound3lex.PPMIweight.LENGTHFOC.SOCPOSnav	-0.20929856583240178	-0.06810595889350014	NA	NA	BOW	nobound	240	lex	3_3	1	weight	FOC	160	nav	4_4	231	haken	NA
haken.BOWnobound3lex.PPMIweight.LENGTHFOC.SOCPOSall	-0.20061352403696436	-0.07612891720707456	NA	NA	BOW	nobound	240	lex	3_3	1	weight	FOC	240	all	4_4	231	haken	NA
haken.BOWnobound3lex.PPMIselection.LENGTH5000.SOCPOSnav	-0.2094558112613239	-0.1464846987246165	NA	NA	BOW	nobound	240	lex	3_3	1	selection	5000	5000	nav	4_4	231	haken	NA
haken.BOWnobound3lex.PPMIselection.LENGTH5000.SOCPOSall	-0.2013024926883896	-0.22001371182777998	NA	NA	BOW	nobound	240	lex	3_3	1	selection	5000	5000	all	4_4	231	haken	NA
haken.BOWnobound3lex.PPMIselection.LENGTHFOC.SOCPOSnav	-0.2046286222025593	-0.046977191178008956	NA	NA	BOW	nobound	240	lex	3_3	1	selection	FOC	160	nav	4_4	231	haken	NA
haken.BOWnobound3lex.PPMIselection.LENGTHFOC.SOCPOSall	-0.1987123389386452	-0.05723077614608937	NA	NA	BOW	nobound	240	lex	3_3	1	selection	FOC	240	all	4_4	231	haken	NA
haken.BOWnobound3lex.PPMIno.LENGTH5000.SOCPOSnav	-0.2694968245604105	-0.15179269645569304	NA	NA	BOW	nobound	302	lex	3_3	1	no	5000	5000	nav	4_4	238	haken	NA
haken.BOWnobound3lex.PPMIno.LENGTH5000.SOCPOSall	-0.2463905246896927	-0.2429244569850562	NA	NA	BOW	nobound	302	lex	3_3	1	no	5000	5000	all	4_4	238	haken	NA
haken.BOWnobound3lex.PPMIno.LENGTHFOC.SOCPOSnav	-0.25179847425788315	-0.029639262672839513	NA	NA	BOW	nobound	302	lex	3_3	1	no	FOC	211	nav	4_4	238	haken	NA
