_model	model.x	model.y	LEMMAPATH	LEMMAREL	base	foc_boundaries	foc_context_words	foc_foc_pos	foc_foc_win	foc_minimum_features	foc_ppmi	soc_length	soc_length_num	soc_soc_pos	soc_soc_win	tokens	type	stress
herroepen.BOWbound3all.PPMIno.LENGTHFOC.SOCPOSnav	0.05205834088064736	0.17286418942840578	NA	NA	BOW	bound	363	all	3_3	1	no	FOC	175	nav	4_4	236	herroepen	0.2611120006425517
herroepen.BOWbound3all.PPMIno.LENGTHFOC.SOCPOSall	0.056538732100075914	0.17459332334914657	NA	NA	BOW	bound	363	all	3_3	1	no	FOC	363	all	4_4	236	herroepen	0.24891970862991966
herroepen.BOWnobound10lex.PPMIweight.LENGTH5000.SOCPOSnav	-0.15052695264123053	-0.05461172743921046	NA	NA	BOW	nobound	451	lex	10_10	1	weight	5000	5000	nav	4_4	235	herroepen	0.24638373876783715
herroepen.BOWnobound10lex.PPMIweight.LENGTH5000.SOCPOSall	-0.17907170642482476	-0.10227419215343574	NA	NA	BOW	nobound	451	lex	10_10	1	weight	5000	5000	all	4_4	235	herroepen	0.26592958893978125
herroepen.BOWnobound10lex.PPMIweight.LENGTHFOC.SOCPOSnav	-0.19624906930637054	-0.08583871902666013	NA	NA	BOW	nobound	451	lex	10_10	1	weight	FOC	340	nav	4_4	235	herroepen	0.24337486179757822
herroepen.BOWnobound10lex.PPMIweight.LENGTHFOC.SOCPOSall	-0.1875878964044402	-0.08341425652773388	NA	NA	BOW	nobound	451	lex	10_10	1	weight	FOC	451	all	4_4	235	herroepen	0.24131445489085024
herroepen.BOWnobound10lex.PPMIselection.LENGTH5000.SOCPOSnav	-0.2476188668998222	0.011918675844133432	NA	NA	BOW	nobound	451	lex	10_10	1	selection	5000	5000	nav	4_4	235	herroepen	0.25667462865553353
herroepen.BOWnobound10lex.PPMIselection.LENGTH5000.SOCPOSall	-0.26637330516302016	-0.020863410705342932	NA	NA	BOW	nobound	451	lex	10_10	1	selection	5000	5000	all	4_4	235	herroepen	0.2727688904703308
herroepen.BOWnobound10lex.PPMIselection.LENGTHFOC.SOCPOSnav	-0.24162316127849923	-0.04614523931608393	NA	NA	BOW	nobound	451	lex	10_10	1	selection	FOC	340	nav	4_4	235	herroepen	0.24736498824473388
herroepen.BOWnobound10lex.PPMIselection.LENGTHFOC.SOCPOSall	-0.23036778369762606	-0.04164007292935816	NA	NA	BOW	nobound	451	lex	10_10	1	selection	FOC	451	all	4_4	235	herroepen	0.24963286756797626
herroepen.BOWnobound10lex.PPMIno.LENGTH5000.SOCPOSnav	-0.3173719051014353	0.002073471381336979	NA	NA	BOW	nobound	999	lex	10_10	1	no	5000	5000	nav	4_4	236	herroepen	0.270537862132265
herroepen.BOWnobound10lex.PPMIno.LENGTH5000.SOCPOSall	-0.4035091805669484	-0.08668726557778006	NA	NA	BOW	nobound	999	lex	10_10	1	no	5000	5000	all	4_4	236	herroepen	0.27615534044779677
herroepen.BOWnobound10lex.PPMIno.LENGTHFOC.SOCPOSnav	-0.2831949793078074	-0.06047506445882506	NA	NA	BOW	nobound	999	lex	10_10	1	no	FOC	732	nav	4_4	236	herroepen	0.26197712764400843
herroepen.BOWnobound10lex.PPMIno.LENGTHFOC.SOCPOSall	-0.2740272022169828	-0.07324159763408265	NA	NA	BOW	nobound	999	lex	10_10	1	no	FOC	999	all	4_4	236	herroepen	0.2572752673441926
herroepen.BOWnobound10all.PPMIweight.LENGTH5000.SOCPOSnav	-0.11887373292190966	-0.0811954525755938	NA	NA	BOW	nobound	608	all	10_10	1	weight	5000	5000	nav	4_4	236	herroepen	0.24605919524158124
herroepen.BOWnobound10all.PPMIweight.LENGTH5000.SOCPOSall	-0.1632812096369585	-0.14047021466546383	NA	NA	BOW	nobound	608	all	10_10	1	weight	5000	5000	all	4_4	236	herroepen	0.27120294454564475
herroepen.BOWnobound10all.PPMIweight.LENGTHFOC.SOCPOSnav	-0.15995632869326873	-0.10515002871423122	NA	NA	BOW	nobound	608	all	10_10	1	weight	FOC	340	nav	4_4	236	herroepen	0.24208877330584702
