LEMMAPATH	LEMMAREL	_model	base	foc_boundaries	foc_context_words	foc_foc_pos	foc_foc_win	foc_minimum_features	foc_ppmi	soc_length	soc_length_num	soc_soc_pos	soc_soc_win	tokens	type	stress
NA	NA	herinneren.BOWnobound10all.PPMIweight.LENGTHFOC.SOCPOSall	BOW	nobound	556	all	10_10	1	weight	FOC	556	all	4_4	240	herinneren	NA
NA	NA	herinneren.BOWnobound10all.PPMIselection.LENGTH5000.SOCPOSnav	BOW	nobound	556	all	10_10	1	selection	5000	5000	nav	4_4	240	herinneren	NA
NA	NA	herinneren.BOWnobound10all.PPMIselection.LENGTH5000.SOCPOSall	BOW	nobound	556	all	10_10	1	selection	5000	5000	all	4_4	240	herinneren	NA
NA	NA	herinneren.BOWnobound10all.PPMIselection.LENGTHFOC.SOCPOSnav	BOW	nobound	556	all	10_10	1	selection	FOC	256	nav	4_4	240	herinneren	NA
NA	NA	herinneren.BOWnobound10all.PPMIselection.LENGTHFOC.SOCPOSall	BOW	nobound	556	all	10_10	1	selection	FOC	556	all	4_4	240	herinneren	NA
NA	NA	herinneren.BOWnobound10all.PPMIno.LENGTH5000.SOCPOSnav	BOW	nobound	1391	all	10_10	1	no	5000	5000	nav	4_4	240	herinneren	NA
NA	NA	herinneren.BOWnobound10all.PPMIno.LENGTH5000.SOCPOSall	BOW	nobound	1391	all	10_10	1	no	5000	5000	all	4_4	240	herinneren	NA
NA	NA	herinneren.BOWnobound10all.PPMIno.LENGTHFOC.SOCPOSnav	BOW	nobound	1391	all	10_10	1	no	FOC	722	nav	4_4	240	herinneren	NA
NA	NA	herinneren.BOWnobound10all.PPMIno.LENGTHFOC.SOCPOSall	BOW	nobound	1391	all	10_10	1	no	FOC	1391	all	4_4	240	herinneren	NA
NA	NA	herinneren.BOWnobound5lex.PPMIweight.LENGTH5000.SOCPOSnav	BOW	nobound	250	lex	5_5	1	weight	5000	5000	nav	4_4	215	herinneren	NA
NA	NA	herinneren.BOWnobound5lex.PPMIweight.LENGTH5000.SOCPOSall	BOW	nobound	250	lex	5_5	1	weight	5000	5000	all	4_4	215	herinneren	NA
NA	NA	herinneren.BOWnobound5lex.PPMIweight.LENGTHFOC.SOCPOSnav	BOW	nobound	250	lex	5_5	1	weight	FOC	173	nav	4_4	215	herinneren	NA
NA	NA	herinneren.BOWnobound5lex.PPMIweight.LENGTHFOC.SOCPOSall	BOW	nobound	250	lex	5_5	1	weight	FOC	250	all	4_4	215	herinneren	NA
NA	NA	herinneren.BOWnobound5lex.PPMIselection.LENGTH5000.SOCPOSnav	BOW	nobound	250	lex	5_5	1	selection	5000	5000	nav	4_4	215	herinneren	NA
NA	NA	herinneren.BOWnobound5lex.PPMIselection.LENGTH5000.SOCPOSall	BOW	nobound	250	lex	5_5	1	selection	5000	5000	all	4_4	215	herinneren	NA
NA	NA	herinneren.BOWnobound5lex.PPMIselection.LENGTHFOC.SOCPOSnav	BOW	nobound	250	lex	5_5	1	selection	FOC	173	nav	4_4	215	herinneren	NA
NA	NA	herinneren.BOWnobound5lex.PPMIselection.LENGTHFOC.SOCPOSall	BOW	nobound	250	lex	5_5	1	selection	FOC	250	all	4_4	215	herinneren	NA
NA	NA	herinneren.BOWnobound5lex.PPMIno.LENGTH5000.SOCPOSnav	BOW	nobound	513	lex	5_5	1	no	5000	5000	nav	4_4	236	herinneren	NA
NA	NA	herinneren.BOWnobound5lex.PPMIno.LENGTH5000.SOCPOSall	BOW	nobound	513	lex	5_5	1	no	5000	5000	all	4_4	236	herinneren	NA
NA	NA	herinneren.BOWnobound5lex.PPMIno.LENGTHFOC.SOCPOSnav	BOW	nobound	513	lex	5_5	1	no	FOC	380	nav	4_4	236	herinneren	NA
