_model	model.x	model.y	foc_BOUNDARIES	foc_FOC-POS	foc_FOC-WIN	foc_PPMI	foc_context_words	foc_minimum_features	soc_LENGTH	soc_LENGTH_num	soc_SOC-POS	soc_SOC-WIN	tokens	type	stress
heilzaam.foc5.nav.weight.bound.min1.soc10.nav.FOC	-0.28397686496336005	0.10869329078145697	bound	nav	5_5	weight	392	1	FOC	392	nav	10_10	235	heilzaam	0.22970535239545492
heilzaam.foc5.nav.weight.bound.min1.soc4.all.5000	-0.296707191142795	0.0858351783576091	bound	nav	5_5	weight	392	1	5000	5000	all	4_4	235	heilzaam	0.243842974041019
heilzaam.foc5.nav.weight.bound.min1.soc4.all.10000	-0.30351792614326123	0.08920123871464312	bound	nav	5_5	weight	392	1	10000	10000	all	4_4	235	heilzaam	0.23508219321684234
heilzaam.foc5.nav.weight.bound.min1.soc4.all.FOC	-0.2876939932379703	0.11661623077539499	bound	nav	5_5	weight	392	1	FOC	392	all	4_4	235	heilzaam	0.24101220782797528
heilzaam.foc5.nav.weight.bound.min1.soc10.all.5000	-0.2686465737118185	0.07173354295379417	bound	nav	5_5	weight	392	1	5000	5000	all	10_10	235	heilzaam	0.23841173482519185
heilzaam.foc5.nav.weight.bound.min1.soc10.all.10000	-0.27522744325451176	0.0758285963722826	bound	nav	5_5	weight	392	1	10000	10000	all	10_10	235	heilzaam	0.23326562561638667
heilzaam.foc5.nav.weight.bound.min1.soc10.all.FOC	-0.28397687830852647	0.10869325833477815	bound	nav	5_5	weight	392	1	FOC	392	all	10_10	235	heilzaam	0.22970535239545492
heilzaam.foc5.nav.selection.bound.min1.soc4.nav.5000	-0.05387789639211251	0.11396490314882658	bound	nav	5_5	selection	392	1	5000	5000	nav	4_4	235	heilzaam	0.26235244083229586
heilzaam.foc5.nav.selection.bound.min1.soc4.nav.10000	-0.07123287723500692	0.11213500798838252	bound	nav	5_5	selection	392	1	10000	10000	nav	4_4	235	heilzaam	0.2520690137323172
heilzaam.foc5.nav.selection.bound.min1.soc4.nav.FOC	-0.12044758193922935	0.09465311942798184	bound	nav	5_5	selection	392	1	FOC	392	nav	4_4	235	heilzaam	0.24307596299451464
heilzaam.foc5.nav.selection.bound.min1.soc10.nav.5000	-0.044788207829101846	0.03879798378403388	bound	nav	5_5	selection	392	1	5000	5000	nav	10_10	235	heilzaam	0.2536714420288501
heilzaam.foc5.nav.selection.bound.min1.soc10.nav.10000	-0.06504442074688872	0.03595358698757367	bound	nav	5_5	selection	392	1	10000	10000	nav	10_10	235	heilzaam	0.24587528545750947
heilzaam.foc5.nav.selection.bound.min1.soc10.nav.FOC	-0.11565770762966918	0.06378508232606629	bound	nav	5_5	selection	392	1	FOC	392	nav	10_10	235	heilzaam	0.2340728865938557
heilzaam.foc5.nav.selection.bound.min1.soc4.all.5000	-0.052463228709667485	0.13194999197435103	bound	nav	5_5	selection	392	1	5000	5000	all	4_4	235	heilzaam	0.2586196182109651
heilzaam.foc5.nav.selection.bound.min1.soc4.all.10000	-0.06202251854963035	0.1147445238061833	bound	nav	5_5	selection	392	1	10000	10000	all	4_4	235	heilzaam	0.2603521360489614
heilzaam.foc5.nav.selection.bound.min1.soc4.all.FOC	-0.12044758038745798	0.09465315433553202	bound	nav	5_5	selection	392	1	FOC	392	all	4_4	235	heilzaam	0.24307596299451464
heilzaam.foc5.nav.selection.bound.min1.soc10.all.5000	-0.04212084406880645	0.04465911451812835	bound	nav	5_5	selection	392	1	5000	5000	all	10_10	235	heilzaam	0.2557695382042037
heilzaam.foc5.nav.selection.bound.min1.soc10.all.10000	-0.05721118879378872	0.03757101686379179	bound	nav	5_5	selection	392	1	10000	10000	all	10_10	235	heilzaam	0.25411603498189095
heilzaam.foc5.nav.selection.bound.min1.soc10.all.FOC	-0.11565772462490269	0.06378518592570856	bound	nav	5_5	selection	392	1	FOC	392	all	10_10	235	heilzaam	0.2340728865938557
heilzaam.foc5.nav.no.bound.min1.soc4.nav.5000	-0.053877907621408316	0.11396493758887284	bound	nav	5_5	no	392	1	5000	5000	nav	4_4	235	heilzaam	0.26235244083229586
heilzaam.foc5.nav.no.bound.min1.soc4.nav.10000	-0.0712328882702301	0.11213504228075526	bound	nav	5_5	no	392	1	10000	10000	nav	4_4	235	heilzaam	0.2520690137323172
heilzaam.foc5.nav.no.bound.min1.soc4.nav.FOC	-0.12044758146934798	0.0946531879793333	bound	nav	5_5	no	392	1	FOC	392	nav	4_4	235	heilzaam	0.24307596299451464
heilzaam.foc5.nav.no.bound.min1.soc10.nav.5000	-0.04478821133668009	0.0387980180794837	bound	nav	5_5	no	392	1	5000	5000	nav	10_10	235	heilzaam	0.2536714420288501
heilzaam.foc5.nav.no.bound.min1.soc10.nav.10000	-0.06504442314293406	0.03595362062505214	bound	nav	5_5	no	392	1	10000	10000	nav	10_10	235	heilzaam	0.24587528545750947
heilzaam.foc5.nav.no.bound.min1.soc10.nav.FOC	-0.11565771390211126	0.06378515177368894	bound	nav	5_5	no	392	1	FOC	392	nav	10_10	235	heilzaam	0.2340728865938557
heilzaam.foc5.nav.no.bound.min1.soc4.all.5000	-0.0524632144686906	0.13194995873277313	bound	nav	5_5	no	392	1	5000	5000	all	4_4	235	heilzaam	0.2586196182109651
heilzaam.foc5.nav.no.bound.min1.soc4.all.10000	-0.06202252911288878	0.1147445574524464	bound	nav	5_5	no	392	1	10000	10000	all	4_4	235	heilzaam	0.2603521360489614
heilzaam.foc5.nav.no.bound.min1.soc4.all.FOC	-0.12044758208883237	0.09465308513173155	bound	nav	5_5	no	392	1	FOC	392	all	4_4	235	heilzaam	0.24307596299451464
heilzaam.foc5.nav.no.bound.min1.soc10.all.5000	-0.04212084982295264	0.044659149176235015	bound	nav	5_5	no	392	1	5000	5000	all	10_10	235	heilzaam	0.2557695382042037
heilzaam.foc5.nav.no.bound.min1.soc10.all.10000	-0.057211188727631805	0.03757101686980792	bound	nav	5_5	no	392	1	10000	10000	all	10_10	235	heilzaam	0.25411603498189095
heilzaam.foc5.nav.no.bound.min1.soc10.all.FOC	-0.11565771911764325	0.06378511606454886	bound	nav	5_5	no	392	1	FOC	392	all	10_10	235	heilzaam	0.2340728865938557
heilzaam.foc5.all.weight.bound.min1.soc4.nav.5000	-0.24922810262339576	0.14219429754895255	bound	all	5_5	weight	462	1	5000	5000	nav	4_4	238	heilzaam	0.23239848555248008
heilzaam.foc5.all.weight.bound.min1.soc4.nav.10000	-0.26921408191029517	0.15006307822501008	bound	all	5_5	weight	462	1	10000	10000	nav	4_4	238	heilzaam	0.2254036160376401
heilzaam.foc5.all.weight.bound.min1.soc4.nav.FOC	-0.25867637550963424	0.16069780778668719	bound	all	5_5	weight	462	1	FOC	462	nav	4_4	238	heilzaam	0.23137120132710176
heilzaam.foc5.all.weight.bound.min1.soc10.nav.5000	-0.23194901490723452	0.11645338649057463	bound	all	5_5	weight	462	1	5000	5000	nav	10_10	238	heilzaam	0.22806767320961518
heilzaam.foc5.all.weight.bound.min1.soc10.nav.10000	-0.25272991012800083	0.12323139592619166	bound	all	5_5	weight	462	1	10000	10000	nav	10_10	238	heilzaam	0.2201118276379222
heilzaam.foc5.all.weight.bound.min1.soc10.nav.FOC	-0.2468745203355848	0.1642480317820158	bound	all	5_5	weight	462	1	FOC	462	nav	10_10	238	heilzaam	0.2245677175727626
heilzaam.foc5.all.weight.bound.min1.soc4.all.5000	-0.24887670686824132	0.1460685784935486	bound	all	5_5	weight	462	1	5000	5000	all	4_4	238	heilzaam	0.2340179886057247
heilzaam.foc5.all.weight.bound.min1.soc4.all.10000	-0.267500582073695	0.14787093712924682	bound	all	5_5	weight	462	1	10000	10000	all	4_4	238	heilzaam	0.22805458088879615
heilzaam.foc5.all.weight.bound.min1.soc4.all.FOC	-0.25867635314923537	0.1606978327323829	bound	all	5_5	weight	462	1	FOC	462	all	4_4	238	heilzaam	0.23137120132710176
heilzaam.foc5.all.weight.bound.min1.soc10.all.5000	-0.23116915757236514	0.12099103660773455	bound	all	5_5	weight	462	1	5000	5000	all	10_10	238	heilzaam	0.23509996692531196
heilzaam.foc5.all.weight.bound.min1.soc10.all.10000	-0.24382160038290446	0.1199361203209671	bound	all	5_5	weight	462	1	10000	10000	all	10_10	238	heilzaam	0.22375384002165233
heilzaam.foc5.all.weight.bound.min1.soc10.all.FOC	-0.24687450454997226	0.16424801295601227	bound	all	5_5	weight	462	1	FOC	462	all	10_10	238	heilzaam	0.2245677175727626
heilzaam.foc5.all.selection.bound.min1.soc4.nav.5000	0.2885057689808067	0.2746288526956859	bound	all	5_5	selection	462	1	5000	5000	nav	4_4	238	heilzaam	0.25306225541505484
heilzaam.foc5.all.selection.bound.min1.soc4.nav.10000	0.2625219668599054	0.28406133444567166	bound	all	5_5	selection	462	1	10000	10000	nav	4_4	238	heilzaam	0.24950414595166798
heilzaam.foc5.all.selection.bound.min1.soc4.nav.FOC	0.1314186405219573	0.23532080666388494	bound	all	5_5	selection	462	1	FOC	462	nav	4_4	238	heilzaam	0.24851001862637875
heilzaam.foc5.all.selection.bound.min1.soc10.nav.5000	0.19708591535997752	0.1666576668758603	bound	all	5_5	selection	462	1	5000	5000	nav	10_10	238	heilzaam	0.26394672893149573
heilzaam.foc5.all.selection.bound.min1.soc10.nav.10000	0.16549915964701079	0.16416592947641348	bound	all	5_5	selection	462	1	10000	10000	nav	10_10	238	heilzaam	0.2618088030411936
heilzaam.foc5.all.selection.bound.min1.soc10.nav.FOC	0.06975013019143773	0.16948172394805647	bound	all	5_5	selection	462	1	FOC	462	nav	10_10	238	heilzaam	0.2444403158379122
heilzaam.foc5.all.selection.bound.min1.soc4.all.5000	0.2864269343222771	0.26560626631630246	bound	all	5_5	selection	462	1	5000	5000	all	4_4	238	heilzaam	0.2534716153941034
heilzaam.foc5.all.selection.bound.min1.soc4.all.10000	0.27538700399489874	0.27812672782778897	bound	all	5_5	selection	462	1	10000	10000	all	4_4	238	heilzaam	0.2506218281892708
heilzaam.foc5.all.selection.bound.min1.soc4.all.FOC	0.1314186046464179	0.23532081646234118	bound	all	5_5	selection	462	1	FOC	462	all	4_4	238	heilzaam	0.24851001862637875
heilzaam.foc5.all.selection.bound.min1.soc10.all.5000	0.19761683634797747	0.1628774633705136	bound	all	5_5	selection	462	1	5000	5000	all	10_10	238	heilzaam	0.2615463454466543
heilzaam.foc5.all.selection.bound.min1.soc10.all.10000	0.180643441812659	0.1640363063045929	bound	all	5_5	selection	462	1	10000	10000	all	10_10	238	heilzaam	0.2626248939301388
heilzaam.foc5.all.selection.bound.min1.soc10.all.FOC	0.0697501457905166	0.16948169303141822	bound	all	5_5	selection	462	1	FOC	462	all	10_10	238	heilzaam	0.2444403158379122
heilzaam.foc5.all.no.bound.min1.soc4.nav.5000	0.2885070227661045	0.27462989651643493	bound	all	5_5	no	462	1	5000	5000	nav	4_4	238	heilzaam	0.25306225541505484
heilzaam.foc5.all.no.bound.min1.soc4.nav.10000	0.26252298062860846	0.2840622408415983	bound	all	5_5	no	462	1	10000	10000	nav	4_4	238	heilzaam	0.24950414595166798
heilzaam.foc5.all.no.bound.min1.soc4.nav.FOC	0.13141860996041896	0.2353208548474013	bound	all	5_5	no	462	1	FOC	462	nav	4_4	238	heilzaam	0.24851001862637875
heilzaam.foc5.all.no.bound.min1.soc10.nav.5000	0.19708590921347816	0.16665769638563557	bound	all	5_5	no	462	1	5000	5000	nav	10_10	238	heilzaam	0.26394672893149573
heilzaam.foc5.all.no.bound.min1.soc10.nav.10000	0.16549916460635886	0.16416589925459787	bound	all	5_5	no	462	1	10000	10000	nav	10_10	238	heilzaam	0.2618088030411936
heilzaam.foc5.all.no.bound.min1.soc10.nav.FOC	0.06975015420644368	0.16948166105152254	bound	all	5_5	no	462	1	FOC	462	nav	10_10	238	heilzaam	0.2444403158379122
heilzaam.foc5.all.no.bound.min1.soc4.all.5000	0.28642603266716904	0.265605527567712	bound	all	5_5	no	462	1	5000	5000	all	4_4	238	heilzaam	0.2534716153941034
heilzaam.foc5.all.no.bound.min1.soc4.all.10000	0.27538698220423224	0.2781267537418439	bound	all	5_5	no	462	1	10000	10000	all	4_4	238	heilzaam	0.2506218281892708
