_model	model.x	model.y	foc_BOUNDARIES	foc_FOC-POS	foc_FOC-WIN	foc_PPMI	foc_context_words	foc_minimum_features	soc_LENGTH	soc_LENGTH_num	soc_SOC-POS	soc_SOC-WIN	tokens	type	stress
hachelijk.foc5.nav.weight.bound.min1.soc10.nav.FOC	-0.24937002980485318	-0.06770897862064103	bound	nav	5_5	weight	324	1	FOC	324	nav	10_10	238	hachelijk	0.23923962748863037
hachelijk.foc5.nav.weight.bound.min1.soc4.all.5000	-0.28653724835059985	-0.06191035602574668	bound	nav	5_5	weight	324	1	5000	5000	all	4_4	238	hachelijk	0.24738005739514426
hachelijk.foc5.nav.weight.bound.min1.soc4.all.10000	-0.28820395322085585	-0.06746081491349529	bound	nav	5_5	weight	324	1	10000	10000	all	4_4	238	hachelijk	0.2321776446976416
hachelijk.foc5.nav.weight.bound.min1.soc4.all.FOC	-0.2626887360524506	-0.0887644674361109	bound	nav	5_5	weight	324	1	FOC	324	all	4_4	238	hachelijk	0.24031672965971293
hachelijk.foc5.nav.weight.bound.min1.soc10.all.5000	-0.2840419288263997	-0.05391630089539219	bound	nav	5_5	weight	324	1	5000	5000	all	10_10	238	hachelijk	0.22430771395137775
hachelijk.foc5.nav.weight.bound.min1.soc10.all.10000	-0.28422932634668546	-0.05662311955873267	bound	nav	5_5	weight	324	1	10000	10000	all	10_10	238	hachelijk	0.21913413814941898
hachelijk.foc5.nav.weight.bound.min1.soc10.all.FOC	-0.24937008163218866	-0.06770900071808533	bound	nav	5_5	weight	324	1	FOC	324	all	10_10	238	hachelijk	0.23923962748863037
hachelijk.foc5.nav.selection.bound.min1.soc4.nav.5000	-0.1218807165315223	0.14361048039783028	bound	nav	5_5	selection	324	1	5000	5000	nav	4_4	238	hachelijk	0.25484221251311856
hachelijk.foc5.nav.selection.bound.min1.soc4.nav.10000	-0.130545882385051	0.13356714837357708	bound	nav	5_5	selection	324	1	10000	10000	nav	4_4	238	hachelijk	0.2560402520733377
hachelijk.foc5.nav.selection.bound.min1.soc4.nav.FOC	-0.0838385949768515	0.07176954063233924	bound	nav	5_5	selection	324	1	FOC	324	nav	4_4	238	hachelijk	0.24860728411005117
hachelijk.foc5.nav.selection.bound.min1.soc10.nav.5000	-0.11875963168167131	0.1218561943063786	bound	nav	5_5	selection	324	1	5000	5000	nav	10_10	238	hachelijk	0.24660630748431173
hachelijk.foc5.nav.selection.bound.min1.soc10.nav.10000	-0.1218054851527117	0.10816476808340597	bound	nav	5_5	selection	324	1	10000	10000	nav	10_10	238	hachelijk	0.24345687017932674
hachelijk.foc5.nav.selection.bound.min1.soc10.nav.FOC	-0.08839234662761482	0.05645111109320457	bound	nav	5_5	selection	324	1	FOC	324	nav	10_10	238	hachelijk	0.24554622879896265
hachelijk.foc5.nav.selection.bound.min1.soc4.all.5000	-0.109145021678971	0.1445744356149768	bound	nav	5_5	selection	324	1	5000	5000	all	4_4	238	hachelijk	0.2565668016439152
hachelijk.foc5.nav.selection.bound.min1.soc4.all.10000	-0.11826594575037325	0.13980025817979158	bound	nav	5_5	selection	324	1	10000	10000	all	4_4	238	hachelijk	0.2527267375939033
hachelijk.foc5.nav.selection.bound.min1.soc4.all.FOC	-0.08383808195147893	0.07176888949575158	bound	nav	5_5	selection	324	1	FOC	324	all	4_4	238	hachelijk	0.24860728411005117
hachelijk.foc5.nav.selection.bound.min1.soc10.all.5000	-0.10953706028144643	0.12313112323680546	bound	nav	5_5	selection	324	1	5000	5000	all	10_10	238	hachelijk	0.24607167209724382
hachelijk.foc5.nav.selection.bound.min1.soc10.all.10000	-0.11642701047343575	0.11473586379214509	bound	nav	5_5	selection	324	1	10000	10000	all	10_10	238	hachelijk	0.24310152131207022
hachelijk.foc5.nav.selection.bound.min1.soc10.all.FOC	-0.08839234571403748	0.05645111222958037	bound	nav	5_5	selection	324	1	FOC	324	all	10_10	238	hachelijk	0.24554622879896265
hachelijk.foc5.nav.no.bound.min1.soc4.nav.5000	-0.12188071315906077	0.14361047591116577	bound	nav	5_5	no	324	1	5000	5000	nav	4_4	238	hachelijk	0.25484221251311856
hachelijk.foc5.nav.no.bound.min1.soc4.nav.10000	-0.13054587949944865	0.13356714245626022	bound	nav	5_5	no	324	1	10000	10000	nav	4_4	238	hachelijk	0.2560402520733377
hachelijk.foc5.nav.no.bound.min1.soc4.nav.FOC	-0.0838386065029884	0.07176955488624957	bound	nav	5_5	no	324	1	FOC	324	nav	4_4	238	hachelijk	0.24860728411005117
hachelijk.foc5.nav.no.bound.min1.soc10.nav.5000	-0.118759637923587	0.12185619710728518	bound	nav	5_5	no	324	1	5000	5000	nav	10_10	238	hachelijk	0.24660630748431173
hachelijk.foc5.nav.no.bound.min1.soc10.nav.10000	-0.1218054866494827	0.10816476646193096	bound	nav	5_5	no	324	1	10000	10000	nav	10_10	238	hachelijk	0.24345687017932674
hachelijk.foc5.nav.no.bound.min1.soc10.nav.FOC	-0.08839234609640373	0.05645111171733073	bound	nav	5_5	no	324	1	FOC	324	nav	10_10	238	hachelijk	0.24554622879896265
hachelijk.foc5.nav.no.bound.min1.soc4.all.5000	-0.1091450151793977	0.144574429305481	bound	nav	5_5	no	324	1	5000	5000	all	4_4	238	hachelijk	0.2565668016439152
hachelijk.foc5.nav.no.bound.min1.soc4.all.10000	-0.11826595170280933	0.1398002627511563	bound	nav	5_5	no	324	1	10000	10000	all	4_4	238	hachelijk	0.2527267375939033
hachelijk.foc5.nav.no.bound.min1.soc4.all.FOC	-0.08383806892246742	0.07176887560465685	bound	nav	5_5	no	324	1	FOC	324	all	4_4	238	hachelijk	0.24860728411005117
hachelijk.foc5.nav.no.bound.min1.soc10.all.5000	-0.10953706559873536	0.12313112929001123	bound	nav	5_5	no	324	1	5000	5000	all	10_10	238	hachelijk	0.24607167209724382
hachelijk.foc5.nav.no.bound.min1.soc10.all.10000	-0.11642701625105477	0.11473586837741778	bound	nav	5_5	no	324	1	10000	10000	all	10_10	238	hachelijk	0.24310152131207022
hachelijk.foc5.nav.no.bound.min1.soc10.all.FOC	-0.08839234491558946	0.05645111305462994	bound	nav	5_5	no	324	1	FOC	324	all	10_10	238	hachelijk	0.24554622879896265
hachelijk.foc5.all.weight.bound.min1.soc4.nav.5000	-0.24537992010178705	-0.12430682361383015	bound	all	5_5	weight	396	1	5000	5000	nav	4_4	239	hachelijk	0.2427894801486865
hachelijk.foc5.all.weight.bound.min1.soc4.nav.10000	-0.25013911323552024	-0.13548351431426606	bound	all	5_5	weight	396	1	10000	10000	nav	4_4	239	hachelijk	0.23249441588498412
hachelijk.foc5.all.weight.bound.min1.soc4.nav.FOC	-0.19943148373457573	-0.1595154550972483	bound	all	5_5	weight	396	1	FOC	396	nav	4_4	239	hachelijk	0.23647541428498803
hachelijk.foc5.all.weight.bound.min1.soc10.nav.5000	-0.2543319080061901	-0.11221667769559994	bound	all	5_5	weight	396	1	5000	5000	nav	10_10	239	hachelijk	0.21706365017947735
hachelijk.foc5.all.weight.bound.min1.soc10.nav.10000	-0.25691010556183874	-0.1163916907031615	bound	all	5_5	weight	396	1	10000	10000	nav	10_10	239	hachelijk	0.2141829780760519
hachelijk.foc5.all.weight.bound.min1.soc10.nav.FOC	-0.21037378525828007	-0.131084443164799	bound	all	5_5	weight	396	1	FOC	396	nav	10_10	239	hachelijk	0.23460436903161758
hachelijk.foc5.all.weight.bound.min1.soc4.all.5000	-0.2417106064589493	-0.12037428888221996	bound	all	5_5	weight	396	1	5000	5000	all	4_4	239	hachelijk	0.24669517347403494
hachelijk.foc5.all.weight.bound.min1.soc4.all.10000	-0.2451636459433279	-0.12708349586160977	bound	all	5_5	weight	396	1	10000	10000	all	4_4	239	hachelijk	0.23502737969307227
hachelijk.foc5.all.weight.bound.min1.soc4.all.FOC	-0.1994314818926167	-0.15951545306651263	bound	all	5_5	weight	396	1	FOC	396	all	4_4	239	hachelijk	0.23647541428498803
hachelijk.foc5.all.weight.bound.min1.soc10.all.5000	-0.2524565562060329	-0.11211372984307967	bound	all	5_5	weight	396	1	5000	5000	all	10_10	239	hachelijk	0.2186618941965532
hachelijk.foc5.all.weight.bound.min1.soc10.all.10000	-0.25549833810183076	-0.11251418848090053	bound	all	5_5	weight	396	1	10000	10000	all	10_10	239	hachelijk	0.21465566290366897
hachelijk.foc5.all.weight.bound.min1.soc10.all.FOC	-0.2103737977472794	-0.1310844517103964	bound	all	5_5	weight	396	1	FOC	396	all	10_10	239	hachelijk	0.23460436903161758
hachelijk.foc5.all.selection.bound.min1.soc4.nav.5000	0.2321836248015717	-0.23741609117370407	bound	all	5_5	selection	396	1	5000	5000	nav	4_4	239	hachelijk	0.24687913564960914
hachelijk.foc5.all.selection.bound.min1.soc4.nav.10000	0.2291571730353252	-0.2538935569499457	bound	all	5_5	selection	396	1	10000	10000	nav	4_4	239	hachelijk	0.24699482579863258
hachelijk.foc5.all.selection.bound.min1.soc4.nav.FOC	0.14447631582213444	-0.20706823371647154	bound	all	5_5	selection	396	1	FOC	396	nav	4_4	239	hachelijk	0.23329297572840593
hachelijk.foc5.all.selection.bound.min1.soc10.nav.5000	0.15128246162861542	-0.1492368837927466	bound	all	5_5	selection	396	1	5000	5000	nav	10_10	239	hachelijk	0.24649287208818824
hachelijk.foc5.all.selection.bound.min1.soc10.nav.10000	0.14749768431022567	-0.16392431978269842	bound	all	5_5	selection	396	1	10000	10000	nav	10_10	239	hachelijk	0.24531830027630877
hachelijk.foc5.all.selection.bound.min1.soc10.nav.FOC	0.09125037193791292	-0.1506775800343798	bound	all	5_5	selection	396	1	FOC	396	nav	10_10	239	hachelijk	0.2358455327867971
hachelijk.foc5.all.selection.bound.min1.soc4.all.5000	0.23473167048600765	-0.22633201519795285	bound	all	5_5	selection	396	1	5000	5000	all	4_4	239	hachelijk	0.24762423751706428
hachelijk.foc5.all.selection.bound.min1.soc4.all.10000	0.23338629581919404	-0.23610010126204323	bound	all	5_5	selection	396	1	10000	10000	all	4_4	239	hachelijk	0.2465027143358863
hachelijk.foc5.all.selection.bound.min1.soc4.all.FOC	0.14447665271861707	-0.20706855641777022	bound	all	5_5	selection	396	1	FOC	396	all	4_4	239	hachelijk	0.23329297572840593
hachelijk.foc5.all.selection.bound.min1.soc10.all.5000	0.16007096578785435	-0.14277290136422294	bound	all	5_5	selection	396	1	5000	5000	all	10_10	239	hachelijk	0.24741638230688479
hachelijk.foc5.all.selection.bound.min1.soc10.all.10000	0.15678213002296862	-0.15041853092486973	bound	all	5_5	selection	396	1	10000	10000	all	10_10	239	hachelijk	0.24611215961242836
hachelijk.foc5.all.selection.bound.min1.soc10.all.FOC	0.09125036995629426	-0.15067758675547052	bound	all	5_5	selection	396	1	FOC	396	all	10_10	239	hachelijk	0.2358455327867971
hachelijk.foc5.all.no.bound.min1.soc4.nav.5000	0.2321798940589487	-0.23741248348092175	bound	all	5_5	no	396	1	5000	5000	nav	4_4	239	hachelijk	0.24687913564960914
hachelijk.foc5.all.no.bound.min1.soc4.nav.10000	0.22915716932518096	-0.2538935531435652	bound	all	5_5	no	396	1	10000	10000	nav	4_4	239	hachelijk	0.24699482579863258
hachelijk.foc5.all.no.bound.min1.soc4.nav.FOC	0.14447667193066477	-0.20706857482866783	bound	all	5_5	no	396	1	FOC	396	nav	4_4	239	hachelijk	0.23329297572840593
hachelijk.foc5.all.no.bound.min1.soc10.nav.5000	0.1512824679235449	-0.14923688676567545	bound	all	5_5	no	396	1	5000	5000	nav	10_10	239	hachelijk	0.24649287208818824
hachelijk.foc5.all.no.bound.min1.soc10.nav.10000	0.1474976824759706	-0.1639243185011028	bound	all	5_5	no	396	1	10000	10000	nav	10_10	239	hachelijk	0.24531830027630877
hachelijk.foc5.all.no.bound.min1.soc10.nav.FOC	0.09125037494254991	-0.15067757471362642	bound	all	5_5	no	396	1	FOC	396	nav	10_10	239	hachelijk	0.2358455327867971
hachelijk.foc5.all.no.bound.min1.soc4.all.5000	0.23473149675673888	-0.22633186605232963	bound	all	5_5	no	396	1	5000	5000	all	4_4	239	hachelijk	0.24762423751706428
hachelijk.foc5.all.no.bound.min1.soc4.all.10000	0.23338673423814082	-0.23610051890463152	bound	all	5_5	no	396	1	10000	10000	all	4_4	239	hachelijk	0.2465027143358863
